28 JUL,,Alura *Alura - 7/12,"68,00"
28 JUL,,Passei Direto S/A. - 3/12,"19,90"
31 JUL,,Drogarias Pacheco,"25,99"
31 JUL,,Mundo Verde - Rj - Sho,"5,90"
31 JUL,,Paypal *99app,"4,25"
04 AGO,,Saldo em atraso,"1.091,17"
04 AGO,,Crédito de atraso,"1.091,17"
06 AGO,,Apple.Com/Bill,"34,90"
07 AGO,,Pagamento em 07 AGO,"1.091,17"
07 AGO,,Juros de atraso,"16,86"
07 AGO,,IOF de atraso,"4,43"
07 AGO,,Multa de atraso,"21,91"
08 AGO,,Apple.Com/Bill,"21,90"
09 AGO,,Google Youtubepremium,"20,90"
10 AGO,,Amazon.Com.Br,"41,32"
12 AGO,,Uber *Uber *Trip,"17,91"
12 AGO,,Uber *Uber *Trip,"16,94"
12 AGO,,Mia Cookies,"47,50"
13 AGO,,Uber *Uber *Trip,"16,96"
13 AGO,,Uber *Uber *Trip,"19,98"
16 AGO,,Uber *Uber *Trip,"11,93"
16 AGO,,Uber *Uber *Trip,"9,97"
18 AGO,,Uber *Uber *Trip,"9,91"
22 AGO,,Uber *Uber *Trip,"9,96"
23 AGO,,Amazonprimebr,"14,90"
27 AGO,,Paypal *Sacocheiotv,"15,00"
27 AGO,,Pag*Easymarketpleno,"6,50"
